,timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type,id
1213,1699530548,0.6666666666666666,219.0,0,53192648.66666667,25415292713.666668,14346380234.666666,60.0,1.0,all containers
1214,1699530551,0.3333333333333333,196.33333333333334,0,53578765.0,27042072710.333336,13284980033.0,59.0,1.0,all containers
1215,1699530554,0.3333333333333333,220.66666666666669,0,53629479.666666664,25972606812.333332,15445617622.333334,61.0,1.0,all containers
1216,1699530557,0.3333333333333333,210.66666666666666,0,53634650.333333336,25978167002.333332,14526709274.666666,60.0,1.0,all containers
1217,1699530560,0.0,210.0,0,53291451.0,25344653363.333336,12764725323.333334,56.0,1.0,all containers
1218,1699530563,0.6666666666666666,184.66666666666666,0,52467180.666666664,25949157747.666668,14951567301.666668,59.0,1.0,all containers
1219,1699530566,0.0,211.33333333333331,0,53416130.99999999,26020623155.666664,15056559919.666666,60.0,1.0,all containers
1220,1699530569,0.6666666666666666,205.33333333333334,0,52710824.66666667,25648050750.333332,13329921816.666668,59.0,1.0,all containers
1221,1699530572,0.3333333333333333,231.66666666666669,0,40577738.0,21823538391.0,11278393503.0,59.0,1.0,all containers
1222,1699530575,1.3333333333333333,292.3333333333333,0,1716289.6666666667,2364527392.0,1407723066.3333333,4.0,1.0,all containers
1223,1699530578,0.0,223.33333333333331,0,625265.6666666666,1947047650.3333335,1313383339.6666665,2.0,1.0,all containers
1224,1699530581,0.3333333333333333,220.66666666666666,0,706796.0,2032545487.0,1149712432.3333335,6.0,1.0,all containers
1225,1699530584,0.6666666666666666,236.66666666666666,0,1147188.0,2078841631.6666667,1555718812.0,3.0,1.0,all containers
1226,1699530587,0.0,302.66666666666663,0,48903657.66666667,20343273647.666664,11586498090.666666,35.0,1.0,all containers
1227,1699530590,0.3333333333333333,229.33333333333334,0,84676061.33333334,32859535176.333332,15579349050.666668,84.0,1.0,all containers
1228,1699530593,0.3333333333333333,211.66666666666666,0,84608263.0,32555481249.666664,16799424048.666666,84.0,1.0,all containers
1229,1699530596,0.3333333333333333,216.33333333333334,0,82347897.66666666,32763177786.333336,17230344118.333336,82.0,1.0,all containers
1230,1699530599,0.6666666666666666,228.33333333333331,0,83659614.33333333,33540748352.333336,17421262291.0,81.0,1.0,all containers
1231,1699530602,0.0,206.33333333333334,0,83129445.0,32760863835.666668,14852970657.333332,84.0,1.0,all containers
1232,1699530605,0.6666666666666666,231.33333333333331,0,83624447.33333334,33516402468.333336,18673339030.666668,85.0,1.0,all containers
1233,1699530608,0.3333333333333333,226.66666666666666,0,83609900.0,32744679827.666668,16391629944.333332,79.0,1.0,all containers
1234,1699530611,0.0,213.0,0,84778866.33333333,33045637148.666664,16792952208.999998,84.0,1.0,all containers
1235,1699530614,0.3333333333333333,211.66666666666666,0,82714646.0,32923045580.0,16474107217.666666,85.0,1.0,all containers
1236,1699530617,1.0,261.3333333333333,0,1666028.3333333333,11019557959.666666,4914526198.666667,77.0,1.0,all containers
1237,1699530620,0.3333333333333333,257.66666666666663,0,1464162.6666666667,2690876027.0,1527014762.6666667,3.0,1.0,all containers
1238,1699530623,0.0,214.33333333333334,0,646093.0,1984892898.0,1040313634.0,3.0,1.0,all containers
1239,1699530626,0.3333333333333333,238.33333333333334,0,1141624.6666666667,2578328280.333333,1430347270.3333333,4.0,1.0,all containers
1240,1699530629,0.6666666666666666,267.33333333333337,0,1944541.0,2450371318.333333,1271312636.0,2.0,1.0,all containers
1241,1699530632,0.0,261.3333333333333,0,140601766.0,36783787612.0,21574288630.0,121.0,1.0,all containers
1242,1699530635,0.6666666666666666,230.33333333333334,0,164824697.0,43013319837.66667,25894586378.333332,139.0,1.0,all containers
1243,1699530638,0.3333333333333333,230.33333333333331,0,161840882.6666667,43138464098.66667,25106364507.666664,139.0,1.0,all containers
1244,1699530641,0.0,226.33333333333331,0,161699149.33333334,42929354272.0,25517989160.333336,137.0,1.0,all containers
1245,1699530644,0.3333333333333333,205.33333333333334,0,161670333.0,43095906100.0,24499008057.666664,139.0,1.0,all containers
1246,1699530647,0.3333333333333333,221.33333333333331,0,161136593.33333334,43392774658.333336,25065613510.333332,140.0,1.0,all containers
1247,1699530650,0.3333333333333333,222.33333333333331,0,154233040.66666666,43167704616.666664,25753359550.0,137.0,1.0,all containers
1248,1699530653,0.3333333333333333,222.66666666666669,0,124673568.33333334,43248310841.33333,25247991722.333332,138.0,1.0,all containers
1249,1699530656,0.0,210.0,0,120753186.00000001,42741838039.33333,24244244277.333332,137.0,1.0,all containers
1250,1699530659,0.6666666666666666,214.66666666666666,0,121783632.66666667,42870496047.0,25314212678.333332,137.0,1.0,all containers
1251,1699530662,1.0,286.6666666666667,0,2702574.0,5958795648.333333,2969887092.0,8.0,1.0,all containers
1252,1699530665,0.6666666666666666,254.0,0,1103200.3333333333,2165879159.666667,1454869588.3333333,4.0,1.0,all containers
1253,1699530668,0.3333333333333333,221.66666666666666,0,619342.3333333334,2178564522.3333335,1226038344.6666667,8.0,1.0,all containers
1254,1699530671,0.3333333333333333,224.33333333333331,0,637642.3333333334,2083759291.6666667,1538316061.6666667,0.0,1.0,all containers
1255,1699530674,0.3333333333333333,285.0,0,3413593.0,4898930889.666667,2407262681.3333335,5.0,1.0,all containers
1256,1699530677,0.0,266.0,0,134328753.33333334,44823663821.333336,22287567264.0,142.0,1.0,all containers
1257,1699530680,0.3333333333333333,218.66666666666669,0,131565605.33333334,45172490052.66667,20877770063.666668,140.0,1.0,all containers
1258,1699530683,0.0,237.66666666666669,0,129567997.33333333,45092170045.66667,21339384097.0,143.0,1.0,all containers
1259,1699530686,0.6666666666666666,241.66666666666669,0,131904094.0,44378735830.666664,22210782166.333336,144.0,1.0,all containers
1260,1699530689,0.0,236.0,0,129649929.0,44791451740.0,21625377070.0,141.0,1.0,all containers
1261,1699530692,0.6666666666666666,221.0,0,131584639.0,44608707342.66667,21320962498.0,142.0,1.0,all containers
1262,1699530695,0.0,222.33333333333334,0,129950981.0,45144138140.666664,21273383867.0,143.0,1.0,all containers
1263,1699530698,0.3333333333333333,231.33333333333334,0,129823229.66666667,44933970759.0,21438115505.666668,142.0,1.0,all containers
1264,1699530701,0.6666666666666666,212.66666666666669,0,129538951.99999999,44491115752.33333,22313764880.999996,142.0,1.0,all containers
1265,1699530704,0.0,226.66666666666669,0,127698743.33333333,44238658585.333336,20794812215.0,141.0,1.0,all containers
1266,1699530707,1.6666666666666667,267.33333333333337,0,1413940.6666666667,3822132975.0,2158665061.3333335,3.0,1.0,all containers
1267,1699530710,0.0,253.33333333333334,0,906232.0,2561025009.0,1378474618.0,5.0,1.0,all containers
1268,1699530713,0.3333333333333333,228.0,0,580743.6666666666,1939556105.3333335,1554677060.6666665,2.0,1.0,all containers
1269,1699530716,0.0,207.33333333333334,0,553959.0,2323656754.3333335,1145916274.6666667,0.0,1.0,all containers
1270,1699530719,0.3333333333333333,318.0,0,2526123.666666667,3336344634.0,2445444630.333333,3.0,1.0,all containers
1271,1699530722,0.6666666666666666,309.0,0,121079070.0,44284370694.33333,18853726038.666664,138.0,1.0,all containers
1272,1699530725,0.0,302.0,0,111414748.66666666,44347655397.666664,17392916948.333332,139.0,1.0,all containers
1273,1699530728,0.6666666666666666,272.0,0,112380631.0,44397670948.0,18269237166.0,138.0,1.0,all containers
1274,1699530731,0.3333333333333333,318.6666666666667,0,110942369.66666666,44367995730.666664,17951224256.333336,138.0,1.0,all containers
1275,1699530734,0.3333333333333333,268.3333333333333,0,115382347.66666666,44760908919.666664,17814770245.666668,134.0,1.0,all containers
1276,1699530737,0.6666666666666666,275.3333333333333,0,113467851.33333333,43802229342.33333,18068552621.333332,137.0,1.0,all containers
1277,1699530740,0.0,279.6666666666667,0,112891523.33333333,44490047329.33333,18637569214.0,136.0,1.0,all containers
1278,1699530743,0.6666666666666666,276.0,0,115022626.66666666,44696740781.0,17969533025.666664,137.0,1.0,all containers
1279,1699530746,0.3333333333333333,250.66666666666666,0,113279252.66666667,44757934671.0,16981820693.666668,137.0,1.0,all containers
1280,1699530749,0.3333333333333333,287.3333333333333,0,116148300.0,44956030899.666664,17440186905.0,138.0,1.0,all containers
1281,1699530752,1.6666666666666667,273.0,0,2174533.0,9251219898.333332,3991053207.0,10.0,1.0,all containers
1282,1699530755,0.0,255.33333333333334,0,1215230.3333333335,2123731311.3333335,1386703888.0,5.0,1.0,all containers
1283,1699530758,0.3333333333333333,211.0,0,474736.6666666666,2277415065.0,1336583599.6666667,2.0,1.0,all containers
1284,1699530761,0.3333333333333333,236.33333333333334,0,896852.6666666667,2114094407.3333333,1655872579.6666665,3.0,1.0,all containers
1285,1699530764,0.0,289.3333333333333,0,2078953.3333333333,3389017147.3333335,2326315315.3333335,1.0,1.0,all containers
1286,1699530767,0.6666666666666666,324.6666666666667,0,123307592.33333334,44417802004.33333,18366872379.666664,138.0,1.0,all containers
1287,1699530770,0.0,274.0,0,111698984.0,44460725129.0,17331658002.333332,137.0,1.0,all containers
1288,1699530773,0.3333333333333333,289.0,0,114603622.33333333,44489801583.66667,19441136369.333332,138.0,1.0,all containers
1289,1699530776,0.3333333333333333,308.0,0,111973584.33333333,44431377573.0,19250693561.666664,139.0,1.0,all containers
1290,1699530779,0.0,282.6666666666667,0,115137569.33333333,44448113436.66667,17229545369.0,136.0,1.0,all containers
1291,1699530782,0.3333333333333333,277.0,0,116026970.66666666,44401171388.666664,17143156465.0,138.0,1.0,all containers
1292,1699530785,0.0,270.0,0,114195743.33333334,44344314912.333336,17656288071.333332,140.0,1.0,all containers
1293,1699530788,0.6666666666666666,265.0,0,115577825.66666667,44260488776.0,19260102629.666668,140.0,1.0,all containers
1294,1699530791,0.0,270.6666666666667,0,115453108.66666667,44394749044.333336,19135675359.333336,139.0,1.0,all containers
1295,1699530794,0.3333333333333333,280.0,0,115985765.33333333,44707499671.333336,17458322728.0,140.0,1.0,all containers
1296,1699530797,1.6666666666666667,256.3333333333333,0,1898437.3333333333,10134946763.0,3727426202.3333335,52.0,1.0,all containers
1297,1699530800,0.0,275.3333333333333,0,963930.3333333333,2289641979.6666665,1647354061.0,5.0,1.0,all containers
1298,1699530803,0.6666666666666666,230.66666666666666,0,951094.0,1912958351.0,1005017233.3333334,3.0,1.0,all containers
1299,1699530806,0.0,216.0,0,697924.6666666667,2113436503.6666667,1463500013.6666665,3.0,1.0,all containers
1300,1699530809,0.6666666666666666,293.0,0,2022511.6666666665,2343335701.0,1264387705.0,2.0,1.0,all containers
1301,1699530812,0.3333333333333333,258.3333333333333,0,3584533.666666667,26061778300.0,12728276580.0,74.0,1.0,all containers
1302,1699530815,0.0,225.66666666666669,0,3357503.666666667,28846716113.0,15415169676.333332,77.0,1.0,all containers
1303,1699530818,0.6666666666666666,208.33333333333334,0,2447610.0,28149839105.333332,15828119089.333332,77.0,1.0,all containers
1304,1699530821,0.0,221.66666666666666,0,2999826.6666666665,27954408151.666664,13523090744.333334,77.0,1.0,all containers
1305,1699530824,0.3333333333333333,213.33333333333331,0,3020775.6666666665,28443504527.666668,15910537644.333334,78.0,1.0,all containers
1306,1699530827,0.3333333333333333,220.66666666666669,0,2283679.6666666665,28368427304.666668,15885863341.333332,79.0,1.0,all containers
1307,1699530830,0.3333333333333333,204.33333333333331,0,2270549.3333333335,28070798499.333336,14178756866.0,79.0,1.0,all containers
1308,1699530833,0.3333333333333333,230.0,0,3051095.0,28889907826.0,16217813936.333332,79.0,1.0,all containers
1309,1699530836,0.0,204.33333333333331,0,2397604.0,28829793645.333336,16977256524.333334,78.0,1.0,all containers
1310,1699530839,0.6666666666666666,216.66666666666666,0,1901877.0,26727462655.666664,12585884744.0,77.0,1.0,all containers
1311,1699530842,1.3333333333333333,277.3333333333333,0,1682439.3333333335,4229070625.3333335,2197890598.3333335,23.0,1.0,all containers
1312,1699530845,0.3333333333333333,241.0,0,714156.6666666666,1682976245.3333335,875979848.6666667,6.0,1.0,all containers
1313,1699530848,0.6666666666666666,234.66666666666666,0,534565.0,2358110037.333333,1462172083.6666667,0.0,1.0,all containers
1314,1699530851,0.0,209.33333333333334,0,564707.6666666667,1611511830.6666665,901619583.6666666,8.0,1.0,all containers
1315,1699530854,0.3333333333333333,300.33333333333337,0,2862288.3333333335,7574251769.333333,3172048132.6666665,17.0,1.0,all containers
1316,1699530857,0.3333333333333333,256.0,0,48340821.0,38488679065.333336,19865680816.666664,110.0,1.0,all containers
1317,1699530860,0.3333333333333333,237.33333333333334,0,46462521.333333336,37686848665.666664,16547382222.333336,107.0,1.0,all containers
1318,1699530863,0.3333333333333333,256.6666666666667,0,39705438.333333336,37553050790.666664,17411713057.333336,107.0,1.0,all containers
1319,1699530866,0.0,259.0,0,22140419.333333332,38134309910.666664,19669116279.0,106.0,1.0,all containers
1320,1699530869,0.3333333333333333,249.33333333333334,0,9241583.0,35799809721.66667,15165335363.666668,111.0,1.0,all containers
1321,1699530872,0.6666666666666666,244.33333333333334,0,1429474.3333333333,35811116826.666664,17364873132.666664,113.0,1.0,all containers
1322,1699530875,0.0,254.66666666666669,0,1839565.6666666667,37754411542.0,19030969505.666664,114.0,1.0,all containers
1323,1699530878,0.6666666666666666,230.33333333333334,0,1389036.3333333335,36432338901.333336,15763731678.666668,105.0,1.0,all containers
1324,1699530881,0.0,227.66666666666666,0,1473018.3333333335,36753550337.333336,18145654222.0,109.0,1.0,all containers
1325,1699530884,0.6666666666666666,260.3333333333333,0,1711509.0,30538640405.333336,16342351903.666666,109.0,1.0,all containers
1326,1699530887,1.0,282.66666666666663,0,1241113.3333333333,2276686587.333333,1695980104.0,7.0,1.0,all containers
1327,1699530890,0.6666666666666666,233.66666666666669,0,449895.0,1975150576.3333335,979265256.0,3.0,1.0,all containers
1328,1699530893,0.3333333333333333,222.0,0,820678.6666666667,2299775660.3333335,1370277505.3333335,1.0,1.0,all containers
1329,1699530896,0.0,227.33333333333331,0,614827.0,1843328610.0,1050492924.6666667,1.0,1.0,all containers
1330,1699530899,0.6666666666666666,306.33333333333337,0,5645298.333333334,14208493139.666668,4129458196.0,51.0,1.0,all containers
1331,1699530902,0.0,235.0,0,92048993.33333333,52530196986.66667,27783787675.333336,184.0,1.0,all containers
1332,1699530905,0.6666666666666666,266.66666666666663,0,93213036.0,52140432144.33333,27006115256.666668,184.0,1.0,all containers
1333,1699530908,0.3333333333333333,234.66666666666669,0,92119546.33333333,53816432509.0,28084374971.333336,189.0,1.0,all containers
1334,1699530911,0.3333333333333333,229.66666666666666,0,89554988.33333333,51900352285.33333,28024904406.666668,185.0,1.0,all containers
1335,1699530914,0.3333333333333333,238.33333333333334,0,91999625.66666667,52292733120.66667,28154681092.666664,188.0,1.0,all containers
1336,1699530917,0.0,245.0,0,91346532.33333333,53674522502.66667,27414419596.666668,189.0,1.0,all containers
1337,1699530920,0.0,230.66666666666666,0,91452135.66666667,52416586595.333336,27862927362.333336,189.0,1.0,all containers
1338,1699530923,0.3333333333333333,225.33333333333334,0,91815599.0,52814908921.0,27470337207.333332,190.0,1.0,all containers
1339,1699530926,0.3333333333333333,241.0,0,64905547.0,53217693979.333336,26827792245.0,194.0,1.0,all containers
1340,1699530929,0.3333333333333333,239.0,0,20131732.333333336,30604467163.333332,15857493016.333332,190.0,1.0,all containers
1341,1699530932,1.0,307.3333333333333,0,929384.3333333333,2255711360.6666665,1221013179.6666667,7.0,1.0,all containers
1342,1699530935,0.0,231.66666666666666,0,611657.3333333333,2208168119.0,1158986404.3333335,7.0,1.0,all containers
1343,1699530938,0.3333333333333333,222.33333333333334,0,358265.6666666667,1773939355.0,1259891973.0,4.0,1.0,all containers
1344,1699530941,0.3333333333333333,220.66666666666666,0,324582.6666666666,2062665685.3333333,1478283037.3333333,3.0,1.0,all containers
1345,1699530944,0.3333333333333333,286.6666666666667,0,4300814.0,8074766915.333334,3735949626.333333,33.0,1.0,all containers
1346,1699530947,0.3333333333333333,277.3333333333333,0,52955122.333333336,55010768472.33333,21924190926.333336,182.0,1.0,all containers
