,timestamp,packge_ratio_package,bpf_cpu_time_us,bpf_page_cache_hit,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,id
33,1699527008,1.0,3321.0,6.0,1011311.6666666666,0.0,0.0,0.0,0.0,24945998885.666664,12872695110.0,2.0,17749.333333333336,38.66666666665696,0.0,0.0,1.8656666666672024,1.0,all containers
34,1699527011,1.0,3292.6666666666665,0.3333333333333333,877098.0,0.0,0.0,0.0,0.0,24491671310.333336,12778939786.333334,2.0,434176.0,36.03599999998793,0.0,0.0,0.48933333333602036,1.0,all containers
35,1699527014,1.0,3307.0,1.0,838555.0,0.0,0.0,0.0,0.0,24381251558.666668,10915866019.333332,1.6666666666666665,92842.66666666667,39.46666666665502,0.0,0.0,1.299333333336115,1.0,all containers
36,1699527017,1.0,3367.666666666667,6.333333333333333,1518048.3333333335,0.0,0.0,0.0,0.0,25372687854.0,12539014373.666668,0.0,0.0,39.6346666666553,0.0,0.0,1.086333333335169,1.0,all containers
37,1699527020,1.0,3300.0,0.3333333333333333,953987.0,17088.0,0.0,0.0,17088.0,25662837932.333336,13256717915.666666,0.0,0.0,41.13099999998909,0.0,0.0,0.968333333337803,1.0,all containers
38,1699527023,1.0,3333.333333333333,2.0,863789.6666666666,0.0,0.0,0.0,0.0,26804827545.666664,10903990021.666668,0.3333333333333333,101034.66666666667,39.04833333332014,0.0,0.0,0.9583333333333428,1.0,all containers
39,1699527026,1.0,3305.333333333333,0.3333333333333333,812167.0,0.0,0.0,0.0,0.0,25556784931.333332,12822289804.333334,0.0,1365.3333333333333,40.55899999998898,0.0,0.0,1.7136666666677627,1.0,all containers
40,1699527029,1.0,3354.3333333333335,5.333333333333333,1184651.3333333333,0.0,0.0,0.0,0.0,23951273847.666668,13049044016.666666,0.3333333333333333,117418.66666666667,37.0096666666553,0.0,0.0,0.5306666666704984,1.0,all containers
41,1699527032,1.0,1413.0,7.666666666666667,1627718.3333333333,194871.0,0.0,36436.66666666667,158440.0,3982100253.666667,1972753332.7037036,0.0,180224.0,5.018999999990527,0.0,0.0,1.4163333333344852,1.0,all containers
42,1699527035,1.0,1449.0,0.3333333333333333,1055723.3333333333,0.0,0.0,0.0,0.0,2103357210.0,1166050207.0,0.0,0.0,0.8896666666526727,0.0,0.0,0.8790000000032521,1.0,all containers
43,1699527038,1.0,1423.6666666666667,6.666666666666667,1041717.6666666666,0.0,0.0,0.0,0.0,2204622657.666667,1250563401.6666667,0.0,349525.3333333333,1.8959999999909343,0.0,0.0,1.5060000000012295,1.0,all containers
44,1699527041,1.0,1395.6666666666667,0.0,661493.3333333333,0.0,0.0,0.0,0.0,1695156792.6666667,1249697071.0,1.0,791893.3333333334,0.45533333331938053,0.0,0.0,0.5263333333374973,1.0,all containers
45,1699527044,1.0,1452.6666666666665,27.0,2362433.0,321402.0,533845.3333333334,102872.66666666666,218529.3333333333,4365124602.666667,2434468596.3333335,0.0,79189.33333333333,10.598333333320632,0.0,0.0,2.0596666666679084,1.0,all containers
46,1699527047,1.0,5196.666666666667,6.0,1357976.3333333335,0.0,0.0,0.0,0.0,25276037480.333336,11767636031.666668,4.0,326314.6666666667,23.326999999990214,0.0,0.0,0.7420000000032303,1.0,all containers
47,1699527050,1.0,5161.0,0.3333333333333333,922506.0,0.0,0.0,0.0,0.0,24245680890.666668,13206620427.333332,4.0,0.0,23.014333333320486,0.0,0.0,1.1490000000000578,1.0,all containers
