timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1699531892,0.0,0.0,0.0,0.0,232.0,1
1699531895,0.0,0.0,0.0,0.0,233.0,1
1699531898,0.0,0.0,0.0,0.0,235.0,1
1699531901,1817.6666666666667,25941.333333333332,424.3333333333333,1393.3333333333333,232.0,1
1699531904,0.0,25941.333333333332,0.0,0.0,231.0,1
1699531907,0.0,0.0,0.0,0.0,234.0,1
1699531910,0.0,0.0,0.0,0.0,228.0,1
1699531913,0.0,0.0,0.0,0.0,243.0,1
1699531916,0.0,0.0,0.0,0.0,244.0,1
1699531919,0.0,0.0,0.0,0.0,245.0,1
1699531922,0.0,0.0,0.0,0.0,243.0,1
1699531925,0.0,0.0,0.0,0.0,245.0,1
1699531928,0.0,0.0,0.0,0.0,232.0,1
1699531931,63871.666666666664,0.0,2489.0,61376.333333333336,231.0,1
1699531934,178074.0,0.0,89412.0,88662.0,206.0,1
1699531937,0.0,0.0,0.0,0.0,203.0,1
1699531940,0.0,0.0,0.0,0.0,206.0,1
1699531943,53112.0,811008.0,6534.0,46578.0,204.0,1
1699531946,17519637.666666668,4420949.333333334,4185126.6666666665,13334510.666666666,218.0,1
1699531949,0.0,0.0,0.0,0.0,239.0,1
1699531952,0.0,0.0,0.0,0.0,243.0,1
1699531955,0.0,0.0,0.0,0.0,247.0,1
1699531958,0.0,0.0,0.0,0.0,257.0,1
1699531961,0.0,0.0,0.0,0.0,264.0,1
1699531964,0.0,0.0,0.0,0.0,271.0,1
1699531967,0.0,0.0,0.0,0.0,259.0,1
1699531970,0.0,0.0,0.0,0.0,262.0,1
1699531973,0.0,0.0,0.0,0.0,262.0,1
1699531976,0.0,0.0,0.0,0.0,266.0,1
1699531979,0.0,0.0,0.0,0.0,261.0,1
1699531982,0.0,0.0,0.0,0.0,267.0,1
1699531985,74506.66666666667,628053.3333333334,60360.0,14153.333333333332,244.0,1
