,timestamp,bpf_cpu_time_us,bpf_page_cache_hit,platform_power,node_type,id
241,1699527632,8996.666666666666,3.0,87.0,1.0,all containers
242,1699527635,9029.666666666668,5.0,92.0,1.0,all containers
243,1699527638,8963.666666666666,0.3333333333333333,94.0,1.0,all containers
244,1699527641,9004.0,0.6666666666666666,89.0,1.0,all containers
245,1699527644,9021.666666666668,5.666666666666667,93.0,1.0,all containers
246,1699527647,8938.0,0.0,88.0,1.0,all containers
247,1699527650,8958.333333333334,0.0,90.0,1.0,all containers
248,1699527653,9010.333333333334,0.3333333333333333,90.0,1.0,all containers
249,1699527656,1398.3333333333333,9.333333333333334,82.0,1.0,all containers
250,1699527659,1412.3333333333335,0.3333333333333333,5.0,1.0,all containers
251,1699527662,1378.0,2.0,0.0,1.0,all containers
252,1699527665,1421.3333333333333,5.666666666666667,3.0,1.0,all containers
253,1699527668,1455.0,25.666666666666668,3.0,1.0,all containers
254,1699527671,13220.666666666666,1.6666666666666667,132.0,1.0,all containers
255,1699527674,15610.0,0.6666666666666666,150.0,1.0,all containers
256,1699527677,15748.333333333334,6.333333333333333,150.0,1.0,all containers
257,1699527680,15620.333333333332,0.3333333333333333,152.0,1.0,all containers
258,1699527683,15625.333333333334,1.3333333333333333,150.0,1.0,all containers
259,1699527686,15623.333333333332,5.333333333333333,151.0,1.0,all containers
260,1699527689,15606.666666666666,0.3333333333333333,150.0,1.0,all containers
261,1699527692,15628.666666666666,1.6666666666666667,154.0,1.0,all containers
262,1699527695,15642.333333333334,2.3333333333333335,152.0,1.0,all containers
263,1699527698,15612.333333333334,4.666666666666667,154.0,1.0,all containers
264,1699527701,1408.6666666666667,6.666666666666667,13.0,1.0,all containers
265,1699527704,1435.0,2.0,7.0,1.0,all containers
266,1699527707,1403.0,6.0,4.0,1.0,all containers
267,1699527710,1391.3333333333335,0.6666666666666666,4.0,1.0,all containers
268,1699527713,1436.3333333333333,26.0,5.0,1.0,all containers
269,1699527716,23966.333333333332,5.333333333333333,158.0,1.0,all containers
270,1699527719,24027.333333333332,1.3333333333333333,162.0,1.0,all containers
271,1699527722,24010.333333333332,1.0,158.0,1.0,all containers
272,1699527725,24048.333333333332,1.3333333333333333,162.0,1.0,all containers
273,1699527728,24051.333333333336,5.333333333333333,163.0,1.0,all containers
274,1699527731,24133.333333333336,0.3333333333333333,165.0,1.0,all containers
275,1699527734,24138.666666666668,1.6666666666666667,164.0,1.0,all containers
276,1699527737,24130.333333333336,4.666666666666667,164.0,1.0,all containers
277,1699527740,24105.333333333332,1.0,164.0,1.0,all containers
278,1699527743,22266.333333333332,27.0,165.0,1.0,all containers
279,1699527746,1410.0,4.333333333333333,10.0,1.0,all containers
280,1699527749,1405.3333333333333,5.333333333333333,7.0,1.0,all containers
281,1699527752,1395.0,3.0,5.0,1.0,all containers
282,1699527755,1469.6666666666667,5.666666666666667,3.0,1.0,all containers
283,1699527758,1402.6666666666665,28.0,5.0,1.0,all containers
284,1699527761,28920.666666666668,0.6666666666666666,112.0,1.0,all containers
285,1699527764,29007.666666666664,2.6666666666666665,168.0,1.0,all containers
286,1699527767,28994.0,0.3333333333333333,166.0,1.0,all containers
287,1699527770,28978.333333333336,5.666666666666667,169.0,1.0,all containers
288,1699527773,28981.333333333332,2.6666666666666665,172.0,1.0,all containers
289,1699527776,29017.333333333332,2.3333333333333335,169.0,1.0,all containers
290,1699527779,29035.333333333332,4.333333333333333,169.0,1.0,all containers
291,1699527782,28920.333333333332,0.3333333333333333,170.0,1.0,all containers
292,1699527785,28930.0,3.0,169.0,1.0,all containers
293,1699527788,28123.333333333336,28.333333333333332,171.0,1.0,all containers
294,1699527791,1409.3333333333333,5.333333333333333,6.0,1.0,all containers
295,1699527794,1537.3333333333333,1.3333333333333333,11.0,1.0,all containers
296,1699527797,1407.6666666666665,1.6666666666666667,6.0,1.0,all containers
297,1699527800,1414.6666666666667,6.333333333333333,2.0,1.0,all containers
298,1699527803,1476.6666666666667,25.0,0.0,1.0,all containers
299,1699527806,28077.666666666668,5.666666666666666,168.0,1.0,all containers
300,1699527809,29001.666666666668,6.0,170.0,1.0,all containers
301,1699527812,28981.666666666668,1.6666666666666667,171.0,1.0,all containers
302,1699527815,28968.0,5.0,170.0,1.0,all containers
303,1699527818,28972.333333333332,1.0,170.0,1.0,all containers
304,1699527821,28975.666666666668,6.666666666666667,174.0,1.0,all containers
305,1699527824,28847.333333333332,1.3333333333333333,172.0,1.0,all containers
306,1699527827,28910.666666666668,0.3333333333333333,172.0,1.0,all containers
307,1699527830,28960.333333333332,6.0,173.0,1.0,all containers
308,1699527833,28836.0,11.333333333333334,173.0,1.0,all containers
309,1699527836,1396.3333333333335,6.0,11.0,1.0,all containers
310,1699527839,1410.0,0.6666666666666666,8.0,1.0,all containers
311,1699527842,1413.0,4.666666666666667,8.0,1.0,all containers
312,1699527845,1388.6666666666665,0.3333333333333333,4.0,1.0,all containers
313,1699527848,1460.3333333333333,24.666666666666668,4.0,1.0,all containers
314,1699527851,5204.666666666667,4.333333333333333,23.0,1.0,all containers
315,1699527854,5197.0,0.3333333333333333,28.0,1.0,all containers
316,1699527857,5186.333333333333,0.0,27.0,1.0,all containers
317,1699527860,5171.0,0.0,27.0,1.0,all containers
318,1699527863,5213.666666666666,4.666666666666667,28.0,1.0,all containers
319,1699527866,5145.666666666666,0.0,31.0,1.0,all containers
320,1699527869,5153.666666666666,0.0,31.0,1.0,all containers
321,1699527872,5140.666666666667,4.333333333333333,32.0,1.0,all containers
322,1699527875,5226.666666666666,3.3333333333333335,32.0,1.0,all containers
323,1699527878,5034.333333333333,3.0,30.0,1.0,all containers
324,1699527881,1431.0,9.0,0.0,1.0,all containers
325,1699527884,1361.3333333333333,0.3333333333333333,6.0,1.0,all containers
326,1699527887,1414.3333333333333,0.0,2.0,1.0,all containers
327,1699527890,1376.0,0.0,2.0,1.0,all containers
328,1699527893,1473.3333333333333,28.0,13.0,1.0,all containers
329,1699527896,8902.0,0.0,35.0,1.0,all containers
330,1699527899,8917.333333333334,0.0,34.0,1.0,all containers
331,1699527902,8931.666666666666,4.333333333333333,34.0,1.0,all containers
332,1699527905,8921.666666666666,0.3333333333333333,34.0,1.0,all containers
333,1699527908,8898.666666666666,0.0,39.0,1.0,all containers
334,1699527911,8900.666666666666,0.0,33.0,1.0,all containers
335,1699527914,9029.666666666668,4.666666666666667,35.0,1.0,all containers
336,1699527917,8934.333333333332,0.0,37.0,1.0,all containers
337,1699527920,8909.666666666668,0.0,33.0,1.0,all containers
338,1699527923,6844.666666666666,12.0,34.0,1.0,all containers
339,1699527926,1413.0,3.0,3.0,1.0,all containers
340,1699527929,1395.0,0.3333333333333333,0.0,1.0,all containers
341,1699527932,1405.6666666666667,4.333333333333333,2.0,1.0,all containers
342,1699527935,1449.6666666666665,2.6666666666666665,2.0,1.0,all containers
343,1699527938,9386.333333333332,23.666666666666668,24.0,1.0,all containers
344,1699527941,15440.0,0.3333333333333333,48.0,1.0,all containers
345,1699527944,15496.666666666666,4.666666666666667,47.0,1.0,all containers
346,1699527947,15484.0,0.0,46.0,1.0,all containers
347,1699527950,15473.333333333334,0.0,47.0,1.0,all containers
348,1699527953,15536.0,4.666666666666667,46.0,1.0,all containers
349,1699527956,15455.333333333334,0.0,46.0,1.0,all containers
350,1699527959,15477.666666666668,0.3333333333333333,47.0,1.0,all containers
351,1699527962,15439.0,0.6666666666666666,46.0,1.0,all containers
