,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
326,1699527887,0.0,0.0,0.0,0.0,2.0,1.0,all containers
327,1699527890,0.0,0.0,0.0,0.0,2.0,1.0,all containers
328,1699527893,358535.6666666666,533845.3333333334,105779.66666666666,252756.0,13.0,1.0,all containers
329,1699527896,0.0,0.0,0.0,0.0,35.0,1.0,all containers
330,1699527899,0.0,0.0,0.0,0.0,34.0,1.0,all containers
331,1699527902,0.0,0.0,0.0,0.0,34.0,1.0,all containers
332,1699527905,0.0,0.0,0.0,0.0,34.0,1.0,all containers
333,1699527908,0.0,0.0,0.0,0.0,39.0,1.0,all containers
334,1699527911,0.0,0.0,0.0,0.0,33.0,1.0,all containers
335,1699527914,0.0,0.0,0.0,0.0,35.0,1.0,all containers
336,1699527917,0.0,0.0,0.0,0.0,37.0,1.0,all containers
337,1699527920,19418.0,940714.6666666666,19411.666666666664,0.0,33.0,1.0,all containers
338,1699527923,81516.33333333333,940714.6666666666,58722.666666666664,22800.0,34.0,1.0,all containers
339,1699527926,168972.0,895658.6666666666,68046.0,100926.0,3.0,1.0,all containers
340,1699527929,0.0,0.0,0.0,0.0,0.0,1.0,all containers
341,1699527932,0.0,0.0,0.0,0.0,2.0,1.0,all containers
342,1699527935,41496.0,745472.0,23088.0,18402.0,2.0,1.0,all containers
343,1699527938,14447546.333333334,4784128.0,3279055.0,11168491.0,24.0,1.0,all containers
344,1699527941,0.0,0.0,0.0,0.0,48.0,1.0,all containers
345,1699527944,0.0,0.0,0.0,0.0,47.0,1.0,all containers
346,1699527947,0.0,0.0,0.0,0.0,46.0,1.0,all containers
347,1699527950,0.0,0.0,0.0,0.0,47.0,1.0,all containers
348,1699527953,0.0,0.0,0.0,0.0,46.0,1.0,all containers
349,1699527956,0.0,0.0,0.0,0.0,46.0,1.0,all containers
350,1699527959,0.0,0.0,0.0,0.0,47.0,1.0,all containers
351,1699527962,0.0,0.0,0.0,0.0,46.0,1.0,all containers
352,1699527965,0.0,0.0,0.0,0.0,47.0,1.0,all containers
353,1699527968,75560.0,0.0,4486.666666666667,71080.0,41.0,1.0,all containers
354,1699527971,176168.0,0.0,56784.666666666664,119383.33333333333,3.0,1.0,all containers
355,1699527974,0.0,0.0,0.0,0.0,3.0,1.0,all containers
